Arm,PuzzleId,FEN,PlayedMove,GroundTruth,Continuation,Category,Band,Rating,RatingDeviation,GeneratedThemes,GameUrl,TrainingUrl,Review
blunder,Hjybs,2r1k3/5pb1/3Qb2p/3pP1p1/3P1p2/1P3N2/PP4PP/1K5R w - - 3 29,h1c1,blunder,e6f5 c1c2 c8c2 a2a4 c2c6 b1a2 c6d6,discoveredAttack,1600-1999,1996,103,discoveredAttack veryLong,https://lichess.org/fLUsDfKO#57,https://lichess.org/training/Hjybs,ok
blunder,cSrI3,r4bk1/pbpq1p2/1p1p2rp/4pN2/2P1P3/P2QB2P/1PP2PP1/3R1RK1 w - - 1 19,g1h2,blunder,d7f5 e4f5 g6g2 h2h1 g2f2 h1g1 f2g2,discoveredAttack,1600-1999,1888,89,discoveredAttack sacrifice veryLong,https://lichess.org/9Mwt6YiM#37,https://lichess.org/training/cSrI3,ok
blunder,GHKW3,5rk1/pp4pp/1q3n2/4n3/8/1P1Q2P1/P1P2PBP/RN4K1 w - - 1 18,d3e2,blunder,f6g4 b1d2 f8f2,discoveredAttack,1600-1999,1724,90,discoveredAttack short,https://lichess.org/ZEiSlBXP#35,https://lichess.org/training/GHKW3,ok
blunder,DkWoC,1k5r/1pnq2p1/p5p1/8/2QnN3/7P/PP3PP1/1BR3K1 w - - 2 26,c1d1,blunder,d4f3 g2f3 d7d1,discoveredAttack,1600-1999,1654,98,discoveredAttack short,https://lichess.org/yAne4nZQ#51,https://lichess.org/training/DkWoC,ok
blunder,Bve5u,r3r1k1/p6p/2p3pq/4Qn2/4P3/1RN2P2/PPP2P1P/R5K1 w - - 1 21,e5c5,blunder,h6g5 g1f1 f5g3 h2g3 g5c5,discoveredAttack,1600-1999,1843,100,discoveredAttack long,https://lichess.org/BC1e9Yhe#41,https://lichess.org/training/Bve5u,ok
blunder,UiGBO,5r1k/1p4pp/p7/4N2r/2PP1q2/1Q6/P4PKP/R4R2 w - - 3 26,e5f3,blunder,f4g4 g2h1 f8f3 a1e1 g7g6 e1e8 h8g7,discoveredAttack,2000+,2150,136,deflection discoveredAttack quietMove veryLong,https://lichess.org/D0WJyNSJ#51,https://lichess.org/training/UiGBO,ok
blunder,QaBan,2r3kb/ppq1p2p/3p1npB/3P4/2rN4/5P2/PPPQ2P1/1K1R3R b - - 0 21,f6d5,blunder,d4b5 c7c5 d2d5 c5d5 d1d5,discoveredAttack,2000+,2142,77,discoveredAttack long,https://lichess.org/Gae7vzLL/black#42,https://lichess.org/training/QaBan,ok
blunder,AWANh,n4r2/1p4kp/p2p2p1/8/4qp1Q/1P2B2P/P1P5/4R1K1 b - - 1 33,f8e8,blunder,e3f2 a8c7 e1e4,discoveredAttack,2000+,2053,136,discoveredAttack quietMove short,https://lichess.org/KEUZSoTJ/black#66,https://lichess.org/training/AWANh,ok
blunder,KbBgb,r2q2rk/3nbpR1/2p2n1B/p2p4/3P3Q/P4P1P/1pPK1P2/6R1 b - - 1 23,f6h7,blunder,g7h7 h8h7 h6g5 h7g6 g5e7,discoveredAttack,2000+,2067,148,discoveredAttack exposedKing kingsideAttack long sacrifice,https://lichess.org/ji84ii3c/black#46,https://lichess.org/training/KbBgb,ok
blunder,WPUh0,r4rk1/p1q2p2/1p1bp1pp/2n5/2p5/4PPB1/PPQ2P1P/1BR2RK1 b - - 0 18,c5d3,blunder,c2d3 c4d3 c1c7 d6c7 g3c7 a8c8 c7e5,discoveredAttack,2000+,2107,84,defensiveMove discoveredAttack veryLong xRayAttack,https://lichess.org/ZE07h6HG/black#36,https://lichess.org/training/WPUh0,ok
blunder,Ho6kI,8/4p3/1K1bB3/3P1Q2/3k2Pp/8/8/8 w - - 5 62,f5f4,blunder,d6f4 g4g5 f4g5 d5d6 e7d6,hangingPiece,<1200,1129,139,hangingPiece long,https://lichess.org/AJN84S8U#123,https://lichess.org/training/Ho6kI,ok
blunder,N9AQe,r2b3k/pp1b2rN/2n1p3/3pP1N1/2pP1q2/2P5/PP3PQP/1K1R1BR1 w - - 3 25,g5f7,blunder,f4f7 g2g7 f7g7 g1g7 h8g7,hangingPiece,<1200,914,359,hangingPiece long,https://lichess.org/e8RLRhzG#49,https://lichess.org/training/N9AQe,ok
blunder,9AKhQ,4r1k1/p2q1ppp/1p6/8/3p1B2/3R1P2/P1Q3PP/4b2K b - - 3 23,e1f2,blunder,c2f2 d7f5 d3d4 f5b1 f2g1,hangingPiece,<1200,1059,217,capturingDefender hangingPiece long,https://lichess.org/K3KxD3dw/black#46,https://lichess.org/training/9AKhQ,ok
blunder,Ih8vK,r4rk1/pp1bq3/4p1p1/2P2pN1/5P2/3QP1P1/PP4K1/R4R2 b - - 0 23,e7c5,blunder,d3d7 c5d5 d7d5,hangingPiece,<1200,1104,203,hangingPiece short,https://lichess.org/T91CkK5B/black#46,https://lichess.org/training/Ih8vK,ok
blunder,fPuPa,r2r2k1/5pp1/p2b1n1p/1p2N3/5B2/P7/1P3PPP/2RR2K1 w - - 2 20,e5f7,blunder,d6f4 f7d8 f4c1 d1c1 a8d8,hangingPiece,<1200,1063,206,hangingPiece long,https://lichess.org/A2yMTKfh#39,https://lichess.org/training/fPuPa,ok
blunder,D1QwX,4r3/3Rrkp1/pp2Nn2/2p2P2/2P3P1/1P1R1K2/P7/8 w - - 6 38,d7b7,blunder,e7b7 e6d8 e8d8,hangingPiece,1200-1599,1392,111,hangingPiece short,https://lichess.org/NPvr3pBR#75,https://lichess.org/training/D1QwX,ok
blunder,CN4SM,2r3kr/5pp1/b2q4/p1pn2p1/1p4Q1/5N1P/PP3PP1/3RR1K1 w - - 0 24,g4c8,blunder,a6c8 e1e8 g8h7 f3g5 h7g6,hangingPiece,1200-1599,1325,210,hangingPiece long,https://lichess.org/EmCkDQAj#47,https://lichess.org/training/CN4SM,ok
blunder,PVLMG,3r2k1/pp1b2p1/5p1p/8/3nrP1q/2Q4P/PBP2RB1/5RK1 b - - 3 23,d7b5,blunder,g2e4 d4e2 f2e2,hangingPiece,1200-1599,1255,123,hangingPiece short,https://lichess.org/71L9PIZ6/black#46,https://lichess.org/training/PVLMG,ok
blunder,g3RQI,8/6pp/4kp2/1r6/1BK2PP1/4P2P/8/8 b - - 2 46,b5b4,blunder,c4b4 e6d5 b4c3 d5e4 c3d2,hangingPiece,1200-1599,1240,273,defensiveMove hangingPiece long,https://lichess.org/6NoPfDbx/black#92,https://lichess.org/training/g3RQI,ok
blunder,Pop5l,3r2k1/1pp3pp/1n2Pr2/p5Q1/P3R3/3p1R1P/2q3P1/7K b - - 1 31,f6f3,blunder,g5d8 f3f8 e6e7 c2b1 h1h2,hangingPiece,1200-1599,1367,97,advancedPawn hangingPiece long,https://lichess.org/7tKYLhgb/black#62,https://lichess.org/training/Pop5l,ok
blunder,btNu3,2r1r2k/6pp/8/p7/2PRb3/1P4B1/q5PP/3R1Q1K w - - 0 34,g3e5,blunder,e8e5 d4d8 e5e8 d8c8 e8c8,hangingPiece,1600-1999,1787,101,hangingPiece long,https://lichess.org/0s1y5Hnw#67,https://lichess.org/training/btNu3,ok
blunder,PudbJ,8/8/8/1P2Kp2/8/1n6/1P2k3/8 b - - 1 56,b3d4,blunder,e5d4 f5f4 b5b6 f4f3 b6b7 f3f2 b7b8q f2f1q b8b5,hangingPiece,1600-1999,1742,77,advancedPawn hangingPiece promotion veryLong,https://lichess.org/UM5XiFLp/black#112,https://lichess.org/training/PudbJ,ok
blunder,gbh6x,r4rk1/pb1q1ppp/5B2/Pp6/1P1Q1N2/2N1n1P1/2P2bBP/R4R1K b - - 0 20,e3g2,blunder,d4d7 g2f4 d7b7,hangingPiece,1600-1999,1715,178,hangingPiece short,https://lichess.org/RQaQYTim/black#40,https://lichess.org/training/gbh6x,ok
blunder,HNwKQ,2Qr2k1/3Pq2p/p5p1/2N2p2/2P5/1P5P/r5P1/3R1K2 w - - 0 34,c8d8,blunder,e7d8 c5e6 a2a1 d1a1 d8d7,hangingPiece,1600-1999,1801,139,deflection hangingPiece long,https://lichess.org/9mJiwFfg#67,https://lichess.org/training/HNwKQ,ok
blunder,3D5qh,3rr1k1/p5b1/1pP3Qp/1P1p4/6b1/4q1N1/P4RPP/5RK1 b - - 2 36,e8f8,blunder,g6g4 f8f2 f1f2,hangingPiece,1600-1999,1636,103,hangingPiece short,https://lichess.org/jCKpAE73/black#72,https://lichess.org/training/3D5qh,ok
blunder,yndYH,7r/p1pk2p1/2p3qp/8/Q1P1p3/B3RbP1/P2r1P1P/4R1K1 w - - 1 26,e3f3,blunder,e4f3 a4a5 d2e2 e1d1 d7e8,hangingPiece,2000+,2107,105,defensiveMove hangingPiece long,https://lichess.org/XsEP3cnu#51,https://lichess.org/training/yndYH,ok
blunder,nQrj7,8/7P/6K1/3kbP2/2R3P1/8/8/7r w - - 19 61,c4e4,blunder,d5e4 f5f6 e4d5 g4g5 d5e6,hangingPiece,2000+,2304,100,hangingPiece long,https://lichess.org/Kc8VKTHl#121,https://lichess.org/training/nQrj7,ok
blunder,vjKgz,r3r3/pp3Qp1/qk6/2p1b1B1/P7/1P1P3R/6PP/R5K1 w - - 1 25,g2g4,blunder,e5a1 f7g6 b6c7 g5f4 c7d8,hangingPiece,2000+,2253,133,defensiveMove hangingPiece long,https://lichess.org/UUmeC50b#49,https://lichess.org/training/vjKgz,ok
blunder,Wf71P,4r3/pp3n1k/4pN1p/5q2/2r4Q/P7/1PP5/1K5R b - - 12 33,h7g7,blunder,f6e8 g7f8 h4c4,hangingPiece,2000+,2016,75,hangingPiece short,https://lichess.org/opLtZuEA/black#66,https://lichess.org/training/Wf71P,ok
blunder,4Kz11,5qBk/1p6/3bQr1p/1P1P4/2Pp1p2/3Pn3/7P/R5RK w - - 0 40,e6f6,blunder,f8f6 a1a8 h6h5 g8f7 h8h7,hangingPiece,2000+,2362,101,defensiveMove hangingPiece long quietMove,https://lichess.org/Twlvv15Q#79,https://lichess.org/training/4Kz11,ok
blunder,I7N9M,6k1/pp1P1p2/5qp1/2P5/3r3p/7P/3R2P1/2Q4K b - - 2 39,f6g5,blunder,d2d4 g5c1 h1h2 g8g7 d7d8q,sacrifice,<1200,806,382,advancedPawn long promotion sacrifice,https://lichess.org/0P2Bwf0b/black#78,https://lichess.org/training/I7N9M,ok
blunder,nBP6h,8/4k2p/4P1p1/2PK4/8/p7/7P/B1b5 b - - 0 44,c1b2,blunder,c5c6 b2a1 c6c7,sacrifice,<1200,1164,227,advancedPawn bishopEndgame sacrifice short,https://lichess.org/9p9AlC6K/black#88,https://lichess.org/training/nBP6h,ok
blunder,xafwP,3r4/2p1p1k1/pp1rPp2/6p1/8/2N1Q1R1/PPP2P1q/5KR1 w - - 0 31,g3h3,blunder,d6d1 c3d1 d8d1 f1e2 h2g1,sacrifice,<1200,1041,98,deflection long sacrifice,https://lichess.org/AUEKWpE0#61,https://lichess.org/training/xafwP,ok
blunder,ZoVkC,4R3/2pr1pk1/1b3qp1/p5Qp/P1B2P2/1P3PKP/3r4/4R3 w - - 3 38,e8g8,blunder,g7g8 g5f6 b6f2,sacrifice,<1200,1135,311,sacrifice short,https://lichess.org/AjRGx62o#75,https://lichess.org/training/ZoVkC,ok
blunder,2GLK3,3K4/8/p1bB4/2P5/1P6/7p/6k1/8 b - - 3 53,h3h2,blunder,d6h2 g2h2 d8c7,sacrifice,<1200,1035,234,bishopEndgame sacrifice short,https://lichess.org/jCxau1EV/black#106,https://lichess.org/training/2GLK3,ok
blunder,Peezt,2b3k1/3q1pp1/1p4rp/2bpP3/1N2n3/P3PN1P/1BQ2PPK/5R2 w - - 10 26,f1d1,blunder,g6g2 h2g2 d7h3,sacrifice,1200-1599,1449,95,attraction sacrifice short,https://lichess.org/kna1a4mw#51,https://lichess.org/training/Peezt,ok
blunder,Swtbk,8/8/3k4/7P/2PB3K/1p2P3/8/2b5 w - - 0 49,h4g5,blunder,c1e3 d4e3 b3b2 e3d4 b2b1q,sacrifice,1200-1599,1278,107,advancedPawn bishopEndgame long promotion sacrifice,https://lichess.org/n2YJHFfJ#97,https://lichess.org/training/Swtbk,ok
blunder,b1XhU,2r4k/3b1pqp/6p1/1p2p3/1P2P3/3Q4/6PP/B2R2K1 b - - 1 27,d7e6,blunder,d3d8 c8d8 d1d8 g7f8 d8f8,sacrifice,1200-1599,1463,77,long sacrifice,https://lichess.org/sVT95Uev/black#54,https://lichess.org/training/b1XhU,ok
blunder,zfDqT,3r4/p1p2k1p/5Pp1/4b3/5P2/2p1P3/PnR3PP/5RK1 b - - 0 29,d8d2,blunder,f4e5 d2c2 e5e6 f7e6 f6f7,sacrifice,1200-1599,1540,98,advancedPawn long sacrifice,https://lichess.org/NJUevDJF/black#58,https://lichess.org/training/zfDqT,ok
blunder,eh43N,5r1r/1kpqppbp/1p1p2p1/p5N1/2NPPn1P/R1P5/PP4P1/2K2Q1R b - - 2 20,d7g4,blunder,c4a5 b6a5 f1b5,sacrifice,1200-1599,1544,75,clearance sacrifice short,https://lichess.org/UGNphEJa/black#40,https://lichess.org/training/eh43N,ok
blunder,Wu7FE,r2q2k1/p1p3pp/2pb4/3p1rn1/3P4/2P1BP1P/PP4P1/RN1Q1RK1 w - - 0 14,d1d3,blunder,g5h3 g2h3 d8h4,sacrifice,1600-1999,1769,146,clearance kingsideAttack sacrifice short,https://lichess.org/2i8cp0sq#27,https://lichess.org/training/Wu7FE,ok
blunder,whCaO,8/p7/1b6/3pk1K1/3p4/1R3BP1/PP3rP1/8 w - - 1 38,b3b5,blunder,f2f3 g2f3 d4d3,sacrifice,1600-1999,1849,75,sacrifice short,https://lichess.org/bXcPv5Py#75,https://lichess.org/training/whCaO,ok
blunder,4T0k6,1k3b1r/2pb1Rpp/Q1np4/1N6/P7/4q2P/1PP3P1/R6K b - - 1 21,c6e5,blunder,f7d7 e5d7 a6c6 e3c5 c6d7,sacrifice,1600-1999,1872,188,long sacrifice,https://lichess.org/xyrsiskd/black#42,https://lichess.org/training/4T0k6,ok
blunder,xwfGc,4r2r/p7/2p5/4k3/4p1P1/2P1RpKP/PP6/3R4 w - - 8 33,d1d4,blunder,h8h3 g3h3 e5f4 e3e4 e8e4,sacrifice,1600-1999,1874,87,long rookEndgame sacrifice,https://lichess.org/ucH8QmWn#65,https://lichess.org/training/xwfGc,ok: tough
blunder,wN3OR,6k1/5ppp/p3p1b1/8/PPP5/5P2/3K2PP/8 b - - 0 28,g8f8,blunder,b4b5 a6b5 a4a5 b5c4 a5a6,sacrifice,1600-1999,1999,76,bishopEndgame long quietMove sacrifice,https://lichess.org/nAOdxLbK/black#56,https://lichess.org/training/wN3OR,ok
blunder,H9bhP,5k2/3K4/2p1P1p1/8/1P6/8/4r2p/7R b - - 2 44,g6g5,blunder,h1h2 e2h2 e6e7 f8g7 e7e8q,sacrifice,2000+,2153,136,advancedPawn deflection exposedKing long promotion rookEndgame sacrifice,https://lichess.org/Yqh7dqsR/black#88,https://lichess.org/training/H9bhP,ok
blunder,cjOIr,2r4k/5Qp1/p7/1p1R3p/6n1/2P1P3/PP2K1q1/3R4 w - - 0 32,e2d3,blunder,g4e5 d5e5 c8d8 f7d5 d8d5,sacrifice,2000+,2090,79,long sacrifice,https://lichess.org/naU8LJEv#63,https://lichess.org/training/cjOIr,ok
blunder,Y8thD,2r2rk1/1pqn4/p1p1p2p/3p2p1/2PP4/P1RQP2P/1P2BBPb/4R1K1 w - - 1 23,g1f1,blunder,f8f2 f1f2 c7g3 f2f1 c8f8 e2f3 f8f3,sacrifice,2000+,2063,114,attraction sacrifice veryLong,https://lichess.org/4ZFA5tQu#45,https://lichess.org/training/Y8thD,ok
blunder,ef8gv,2k2r2/prp3RR/8/3p2p1/3q4/3N4/PP6/1K1Q4 w - - 0 35,d1c2,blunder,b7b2 d3b2 f8f1 c2d1 f1d1 b2d1 d4d1,sacrifice,2000+,2271,76,sacrifice veryLong,https://lichess.org/95rLyCZL#69,https://lichess.org/training/ef8gv,ok
blunder,guLNp,2rq1rk1/1b1nbppp/p1n1p3/1pppN1P1/2PP1P2/PP1BP3/1B1N3P/R2Q1RK1 b - - 0 14,b5c4,blunder,d3h7 g8h7 d1h5 h7g8 f1f3,sacrifice,2000+,2335,85,attraction defensiveMove kingsideAttack long sacrifice,https://lichess.org/UojVlvua/black#28,https://lichess.org/training/guLNp,ok
blunder,5aBg7,8/4R1pp/5p2/p7/6P1/P1p5/5P2/1k2K3 w - - 2 46,e1d1,blunder,c3c2 d1e2 c2c1q,promotion,<1200,700,259,advancedPawn deflection promotion rookEndgame short,https://lichess.org/xl5HaMRu#91,https://lichess.org/training/5aBg7,ok
blunder,Rzsa2,r6r/p3Qp2/3P1pkp/q2np3/6P1/P6P/1P1B1P2/1K1R3R b - - 2 24,a5d2,blunder,d1d2 d5e7 d6e7,promotion,<1200,1196,80,advancedPawn short,https://lichess.org/BeCgrNhW/black#48,https://lichess.org/training/Rzsa2,ok
blunder,6kJRz,4k3/7p/2P5/3K4/5p2/8/7P/8 w - - 0 56,d5d6,blunder,e8d8 d6e5 f4f3 e5d4 f3f2,promotion,<1200,1107,235,advancedPawn long pawnEndgame,https://lichess.org/2xaX0P9d#111,https://lichess.org/training/6kJRz,ok
blunder,gqtj3,3r2k1/2R2rpp/3P4/n3pp2/8/5P2/4N1PP/3R2K1 b - - 0 30,f7c7,blunder,d6c7 d8d1 g1f2 a5b7 c7c8q,promotion,<1200,1139,246,advancedPawn long promotion,https://lichess.org/ubpUSMt1/black#60,https://lichess.org/training/gqtj3,ok
blunder,XAIQl,6k1/1p3pp1/6p1/4P3/1p3B2/rR2K3/7P/8 w - - 2 38,b3a3,blunder,b4a3 e3d3 a3a2,promotion,<1200,1121,196,advancedPawn short,https://lichess.org/FsGGJu7M#75,https://lichess.org/training/XAIQl,ok
blunder,EmkNx,1r3b2/3P1pk1/1P5p/2P3p1/5p2/1p5P/3R1PP1/6K1 b - - 0 40,f8e7,blunder,c5c6 b8b6 c6c7,promotion,1200-1599,1344,116,advancedPawn short,https://lichess.org/MB23kGcn/black#80,https://lichess.org/training/EmkNx,ok
blunder,3x3ko,8/7p/2p5/2Ppk3/pP2p2P/P1P5/5K2/8 b - - 0 36,e5f4,blunder,b4b5 c6b5 c5c6 f4f5 c6c7,promotion,1200-1599,1294,84,advancedPawn long pawnEndgame,https://lichess.org/yCHxskk2/black#72,https://lichess.org/training/3x3ko,ok
blunder,3GTJR,8/p1p2k2/2p5/8/P4rpp/1PB5/2P3K1/4R3 w - - 0 34,e1f1,blunder,h4h3 g2g1 h3h2 g1h2 f4f1,promotion,1200-1599,1456,75,advancedPawn deflection exposedKing long,https://lichess.org/LUAVnWMz#67,https://lichess.org/training/3GTJR,ok
blunder,bXjus,6R1/8/4kp2/8/1p2P1PP/8/5K2/7r w - - 2 41,h4h5,blunder,b4b3 f2g2 b3b2,promotion,1200-1599,1552,78,advancedPawn rookEndgame short,https://lichess.org/uxcHykhX#81,https://lichess.org/training/bXjus,ok
blunder,2KJ9W,8/7k/p2P4/1p2Q2p/P1q5/2P2p2/2K5/8 b - - 2 46,c4e2,blunder,e5e2 f3e2 c2d2 b5a4 d6d7,promotion,1200-1599,1527,75,advancedPawn long queenEndgame,https://lichess.org/NqQqXAe0/black#92,https://lichess.org/training/2KJ9W,ok
blunder,TqVLd,8/8/N2p1k2/P2Pp2p/2K2pp1/3P1n2/6PP/8 w - - 0 43,g2f3,blunder,g4g3 a6c5 g3g2,promotion,1600-1999,1854,99,advancedPawn knightEndgame short,https://lichess.org/rZsPj8YZ#85,https://lichess.org/training/TqVLd,ok
blunder,FrS1u,4r1k1/1p3p1p/1Np3p1/8/2Nr4/P6P/1Pb1p1PK/R3R3 w - - 2 29,a1c1,blunder,d4d1 c1d1 e2d1q e1d1 c2d1,promotion,1600-1999,1835,130,advancedPawn long promotion,https://lichess.org/gIhvpetq#57,https://lichess.org/training/FrS1u,ok
blunder,JRHBf,8/7p/7P/8/Pp1p4/4pk2/1PP1Rb2/3K4 w - - 0 50,a4a5,blunder,b4b3 a5a6 b3c2 e2c2 d4d3,promotion,1600-1999,1847,312,advancedPawn long,https://lichess.org/TdEIVCtK#99,https://lichess.org/training/JRHBf,ok
blunder,NNQ5n,8/8/p3B3/8/p1pk1P2/8/6K1/8 w - - 0 47,g2f2,blunder,a4a3 f4f5 a3a2,promotion,1600-1999,1710,106,advancedPawn bishopEndgame short,https://lichess.org/qUfB19ZS#93,https://lichess.org/training/NNQ5n,ok
blunder,2oj9Z,8/K7/PP1n4/1k6/8/8/8/8 b - - 0 49,b5c6,blunder,a7b8 c6b6 a6a7 b6c5 a7a8q,promotion,1600-1999,1824,217,advancedPawn knightEndgame long promotion,https://lichess.org/OB16ADQy/black#98,https://lichess.org/training/2oj9Z,ok
blunder,4F096,8/3B4/8/1Pk5/5p2/4p3/3p4/4K3 w - - 0 56,e1e2,blunder,f4f3 e2d1 f3f2 d7h3 c5b5,promotion,2000+,2028,83,advancedPawn bishopEndgame long,https://lichess.org/2XHTzhkb#111,https://lichess.org/training/4F096,ok
blunder,WtvUI,r1b2rk1/pp4qR/2p1p1P1/4n3/8/2NBQP2/PPP2P2/2K5 b - - 1 19,e5d3,blunder,e3d3 g7f6 g6g7 f6g5 f3f4,promotion,2000+,2399,117,advancedPawn long,https://lichess.org/9KIVAAL9/black#38,https://lichess.org/training/WtvUI,ok
blunder,LSLiL,3b4/8/2P3N1/p6P/1k6/3K1p2/8/8 b - - 0 55,a5a4,blunder,h5h6 a4a3 c6c7 f3f2 d3e2 d8c7 h6h7 b4b3 h7h8q,promotion,2000+,2353,103,advancedPawn promotion veryLong,https://lichess.org/WpYFcdK0/black#110,https://lichess.org/training/LSLiL,ok
blunder,VeBYK,8/R7/P4k2/1PN2p2/2KP1n2/6p1/5r2/8 w - - 0 50,a7a8,blunder,g3g2 c5d7 f6g7,promotion,2000+,2209,113,advancedPawn defensiveMove short,https://lichess.org/SEGREBQ4#99,https://lichess.org/training/VeBYK,ok
blunder,xqOnt,rr6/5kPp/3q2p1/p2p4/P1p1p2Q/4P3/K1PP2R1/6R1 b - - 0 33,d6b4,blunder,g7g8q b8g8 h4h7 f7e8 h7g8,promotion,2000+,2195,132,advancedPawn attraction deflection long promotion,https://lichess.org/FhOOvURr/black#66,https://lichess.org/training/xqOnt,ok
blunder,cjwQu,1r4k1/p2q1pp1/2nNp2p/2P5/8/2Q5/P5PP/5RK1 b - - 10 34,a7a5,blunder,f1f7 d7f7 d6f7 b8b1 g1f2,defensive,<1200,1055,76,defensiveMove long,https://lichess.org/RTGnS2za/black#68,https://lichess.org/training/cjwQu,ok
blunder,jokS6,8/5p2/4p3/K2pPk2/3P4/1P6/8/8 b - - 0 48,f5e4,blunder,b3b4 e4d4 b4b5 d4c3 b5b6,defensive,<1200,1062,102,long pawnEndgame quietMove,https://lichess.org/kZTKE47P/black#96,https://lichess.org/training/jokS6,ok
blunder,5sNqK,4k3/R2r1p2/6p1/6P1/5K2/8/8/8 w - - 26 64,a7d7,blunder,e8d7 f4e5 d7e7,defensive,<1200,935,139,defensiveMove short,https://lichess.org/inPK4Unu#127,https://lichess.org/training/5sNqK,ok
blunder,Dz7GB,1r6/7P/8/8/6P1/5P2/1k6/6K1 b - - 0 45,b2c3,blunder,g4g5 b8h8 g5g6,defensive,<1200,1134,198,quietMove rookEndgame short,https://lichess.org/bwIKdqTf/black#90,https://lichess.org/training/Dz7GB,ok
blunder,RjXv7,8/8/R7/8/6k1/p5P1/r7/5K2 w - - 1 45,a6g6,blunder,g4f3 g6f6 f3g3,defensive,<1200,1145,208,defensiveMove rookEndgame short,https://lichess.org/X4qu9lV2#89,https://lichess.org/training/RjXv7,ok
blunder,4ZUEy,2R3k1/1r4p1/3r1pp1/R7/1N2pP2/3bK1P1/7P/8 b - - 2 39,g8h7,blunder,a5a8 g6g5 f4f5 g7g6 c8h8 h7g7 a8g8,defensive,1200-1599,1480,251,quietMove veryLong,https://lichess.org/mMGfWDLP/black#78,https://lichess.org/training/4ZUEy,ok
blunder,YS7er,8/8/2k5/p2p2p1/P2K2P1/8/1P6/8 w - - 4 41,d4e5,blunder,c6c5 e5f5 d5d4 f5e4 c5c4,defensive,1200-1599,1246,109,defensiveMove long pawnEndgame quietMove,https://lichess.org/Cww0pjsM#81,https://lichess.org/training/YS7er,ok
blunder,8HvG6,6k1/1R4pp/2p1p3/2P1P3/3Pp3/P2b2Q1/6KP/3qBr2 b - - 3 35,d1c2,blunder,e1f2 f1g1 g2g1 c2c1 f2e1,defensive,1200-1599,1405,188,defensiveMove long,https://lichess.org/2Ij8TPVz/black#70,https://lichess.org/training/8HvG6,ok
blunder,IodcF,6Q1/p7/3p1p2/5k2/8/8/P4PP1/2r1rNK1 w - - 21 43,g2g4,blunder,f5f4 g1g2 e1f1 g8a8 f1g1,defensive,1200-1599,1500,500,defensiveMove long,https://lichess.org/rKyzfxCZ#85,https://lichess.org/training/IodcF,ok
blunder,Vtink,8/2k1p3/p2pP3/2pP4/8/5KP1/8/8 b - - 0 48,c7b6,blunder,g3g4 c5c4 g4g5 b6c5 g5g6,defensive,1200-1599,1510,88,long pawnEndgame quietMove,https://lichess.org/GyqkC8V5/black#96,https://lichess.org/training/Vtink,ok
blunder,fPaxY,4r1k1/Rp5p/1Q4p1/1P3p2/4p2B/1q1n3P/1P3P2/6K1 w - - 5 31,a7b7,blunder,b3d1 g1h2 d3e5 b7g7 g8g7,defensive,1600-1999,1952,173,long quietMove,https://lichess.org/Litanmxl#61,https://lichess.org/training/fPaxY,ok
blunder,Lw37f,rn1qkb1r/1p3p2/p2pbn2/3Np1B1/4P3/8/PPP2PPP/R2QKB1R b KQkq - 0 11,d8a5,blunder,b2b4 a5d5 e4d5,defensive,1600-1999,1959,94,defensiveMove short,https://lichess.org/NI2PIJKt/black#22,https://lichess.org/training/Lw37f,ok
blunder,em6YB,2kr4/Qpp1R3/5pp1/8/2Pp1P2/P5q1/1P5r/RK6 b - - 3 26,h2h1,blunder,b1a2 h1a1 a2a1 g3e1 e7e1,defensive,1600-1999,1650,100,defensiveMove long,https://lichess.org/jV7Bjr2u/black#52,https://lichess.org/training/em6YB,ok
blunder,JszR5,8/8/3k1ppp/pp1P2P1/3K1P1P/8/1P6/8 b - - 0 39,h6g5,blunder,f4f5 g6f5 h4h5,defensive,1600-1999,1776,99,defensiveMove pawnEndgame short,https://lichess.org/NiOljmbo/black#78,https://lichess.org/training/JszR5,ok
blunder,cbCXd,8/5p2/4k1p1/7p/7P/6P1/5PK1/8 w - - 0 34,g2f3,blunder,e6f5 f3e2 f5g4 e2e3 f7f5,defensive,1600-1999,1874,92,defensiveMove long pawnEndgame,https://lichess.org/A5M9A6Xa#67,https://lichess.org/training/cbCXd,ok
blunder,kXHyV,8/2p4k/1p1p4/p2P1KP1/P7/2P5/8/8 b - - 1 44,h7g7,blunder,c3c4 b6b5 c4b5,defensive,2000+,2225,80,pawnEndgame quietMove short,https://lichess.org/LdDysJ8D/black#88,https://lichess.org/training/kXHyV,ok: these 2 are good for pawn endgames
blunder,yhcWi,8/8/1PK5/3p1k2/8/4R3/8/3r4 b - - 0 40,d5d4,blunder,e3b3 d1c1 c6d5 d4d3 b3d3,defensive,2000+,2275,113,defensiveMove long quietMove rookEndgame,https://lichess.org/WWYdF4ls/black#80,https://lichess.org/training/yhcWi,ok: cool dual use of the rook
blunder,SpIU1,8/p5p1/1p3kP1/1B6/1P1pR1KP/P1r1b3/8/8 b - - 4 44,c3a3,blunder,b5c4 f6g6 c4g8 e3g5 h4g5,defensive,2000+,2257,116,long quietMove,https://lichess.org/JgbEs0zg/black#88,https://lichess.org/training/SpIU1,ok
