PuzzleId,GeneratedThemes
DATUl,rookEndgame long
DAXQZ,mateIn1 mate oneMove
DAbrO,mateIn2 mate sacrifice fork short
DAg9g,mateIn2 mate short
DAnrb,deflection long
DB32h,mateIn1 mate oneMove
DBLH7,advancedPawn promotion pawnEndgame long
DBRLS,short
DBmMj,fork long
DCWrj,pin kingsideAttack long
DCbOH,kingsideAttack long
DCfi1,mateIn2 mate attackingF2F7 short
DDAFd,mateIn1 mate oneMove
DDUYE,quietMove clearance long
DDWd3,long
DDbSW,mateIn2 mate short
DDgol,mateIn2 mate deflection short
DDrC0,mateIn1 mate hangingPiece queensideAttack oneMove
DDzgs,fork discoveredAttack short
DEL7x,mateIn1 mate oneMove
DEXjp,skewer short
DEkTc,mateIn1 mate attackingF2F7 oneMove
DEyJO,mateIn1 mate oneMove
DFLO9,trappedPiece short
DFXOy,mateIn1 mate kingsideAttack oneMove
DFwQn,mateIn3 mate backRankMate sacrifice long
DG07w,short
DG2Cc,discoveredAttack rookEndgame long
DG6Xv,bishopEndgame short
DGBCX,defensiveMove rookEndgame short
DGNmW,mateIn2 mate short
DGRig,kingsideAttack long
DGuCa,long
DGyjw,mateIn2 mate backRankMate short
DH6Km,defensiveMove bishopEndgame long
DHBCN,discoveredAttack short
DHDj1,short
DHvfn,exposedKing long
DHymc,short
DHzDy,mateIn2 mate kingsideAttack short
DIFQt,quietMove long
DIffH,defensiveMove short
DIkfj,exposedKing kingsideAttack long
DInsn,mateIn2 mate short
DJ7id,mateIn1 mate smotheredMate oneMove
DJdoo,mateIn2 mate short
DJiSE,mateIn2 mate rookEndgame short
DJr0n,mateIn3 mate exposedKing queensideAttack long
DJtOx,defensiveMove long
DKEUX,sacrifice short
DKfRb,advancedPawn discoveredAttack short
DKhoV,quietMove veryLong
DKthw,trappedPiece long
DLf1Z,defensiveMove pawnEndgame long
DLoYO,long
DLvyA,discoveredAttack short
DM8W6,mateIn2 mate short
DMJR8,mateIn2 mate kingsideAttack short
DMSyE,long
DMUp2,mateIn2 mate short
DMcLV,long
DMctH,mateIn1 mate oneMove
DN43w,mateIn2 mate kingsideAttack short
DN4u7,quietMove short
DNEww,mateIn1 mate oneMove
DNRLj,mateIn3 mate attraction sacrifice long
DNYFE,trappedPiece short
DNap0,hangingPiece long
DNjs1,mateIn1 mate oneMove
DNpKV,mateIn2 mate backRankMate hangingPiece short
DNq8A,fork short
DNrTS,quietMove long
DNsts,hangingPiece veryLong
DO0LL,mateIn1 mate oneMove
DO5VQ,attraction fork long
DOWnw,short
DOsCb,deflection fork short
DOuIw,fork short
DPpKS,fork long
DPy5w,advancedPawn promotion rookEndgame veryLong
DQ9HW,trappedPiece short
DQKcO,sacrifice pin long
DQMoX,mateIn2 mate short
DQnKl,mateIn1 mate kingsideAttack oneMove
DQz1S,exposedKing skewer long
DQzQS,deflection long
DRtGk,discoveredAttack short
DSC7U,discoveredAttack short
DSefO,mateIn2 mate short
DT1ct,mateIn2 mate doubleCheck kingsideAttack short
DTOsy,deflection defensiveMove fork veryLong
DTZUz,mateIn1 mate oneMove
DThUR,long
DTm9y,short
DTmN9,fork short
DTvKc,mateIn1 mate oneMove
DTzVN,mateIn2 mate queensideAttack short
DU0ii,quietMove fork pin long
DUFHk,advancedPawn hangingPiece promotion rookEndgame short
DUMxD,mateIn2 mate short
DUTyV,mateIn1 mate backRankMate oneMove
DUViK,advancedPawn pawnEndgame long
DUW5x,mateIn2 mate backRankMate deflection short
DUzpN,mateIn2 mate short
DV0rJ,long
DVDmY,mateIn2 mate short
DVUQz,advancedPawn bishopEndgame short
DVYxb,sacrifice kingsideAttack long
DWZ63,mateIn2 mate backRankMate short
DWdpb,fork short
DWuRV,skewer short
DWxRX,exposedKing veryLong
DXBrq,short
DXlkb,advancedPawn pin short
DYBIw,queensideAttack short
DYDH2,mateIn1 mate oneMove
DYDkA,mateIn1 mate queenEndgame oneMove
DYVcu,attraction fork pin capturingDefender long
DYtom,defensiveMove pawnEndgame long
DYulJ,quietMove pawnEndgame long
DZ0EK,mateIn2 mate advancedPawn promotion short
DZ8kT,veryLong
DZEJe,sacrifice long
DZSAY,defensiveMove long
DZa39,advancedPawn hangingPiece promotion short
DZbQn,mateIn1 mate hangingPiece oneMove
DZlz3,pin long
DZnro,mateIn2 mate fork short
DZv4Q,mateIn2 mate pin kingsideAttack short
Da929,mateIn1 mate attackingF2F7 oneMove
DaCdg,rookEndgame short
DaPHJ,discoveredAttack short
DagcB,mateIn1 mate queenRookEndgame oneMove
Dan9N,discoveredAttack pin long
DatZD,mateIn2 mate backRankMate queenRookEndgame short
DavdS,fork short
DbDuM,mateIn1 mate oneMove
Dbf2o,mateIn2 mate short
Dby3h,short
Dc6yM,mateIn2 mate backRankMate short
DcPyQ,mateIn1 mate kingsideAttack oneMove
DcSmi,defensiveMove pawnEndgame short
DcTga,attraction discoveredAttack capturingDefender kingsideAttack long
DcZP1,short
Dci3G,mateIn1 mate oneMove
DcoIh,deflection short
DcxLp,mateIn1 mate oneMove
DdPCk,mateIn3 mate long
DdVqM,short
DdXBs,mateIn1 mate kingsideAttack oneMove
DdcuT,pawnEndgame veryLong
DdeGs,pin short
De7Vt,rookEndgame short
DeCOQ,mateIn2 mate short
DeVo2,short
Dejw8,deflection long
DfFvs,advancedPawn long
Dg6sh,pin long
DgK5u,defensiveMove pin short
DgMdm,sacrifice pin long
Dh6LC,mateIn1 mate oneMove
DhX2G,pin long
Dhgxp,long
Dhj6U,long
DiBq3,short
DiF7Q,mateIn2 mate short
DiTMt,mateIn2 mate kingsideAttack short
DiXZz,fork short
DjFcq,short
Djyjc,mateIn1 mate kingsideAttack oneMove
Dk8a6,mateIn1 mate kingsideAttack oneMove
DkRk6,mateIn1 mate pin oneMove
DkWoC,discoveredAttack short
Dkqil,mateIn1 mate oneMove
DkrD0,mateIn2 mate queensideAttack short
DkzkV,long
Dl7JP,long
DlA25,short
DlETg,advancedPawn promotion bishopEndgame long
DlVHQ,long
DlcqM,mateIn1 mate oneMove
Dljda,fork short
DltYX,mateIn2 mate backRankMate rookEndgame short
DlyXW,long
Dm6Mb,kingsideAttack long
DmJz8,deflection capturingDefender short
DmTSl,fork short
DmZqV,mateIn1 mate oneMove
Dmnzy,sacrifice capturingDefender short
DmrHi,mateIn3 mate quietMove long
Dn43w,mateIn1 mate oneMove
Dn5fA,mateIn1 mate kingsideAttack oneMove
Dn8BH,defensiveMove pawnEndgame short
DnCIN,mateIn4 mate anastasiaMate attraction sacrifice kingsideAttack veryLong
DnF9Z,deflection pin long
DnMSk,intermezzo long
DnOE1,mateIn2 mate short
Dnb2V,mateIn1 mate oneMove
DnfOj,attraction sacrifice long
DnkTs,skewer bishopEndgame long
Do5qA,hangingPiece short
DoFb9,long
DovuJ,mateIn2 mate short
Dp6GT,mateIn1 mate oneMove
Dp84e,kingsideAttack short
DpIEj,mateIn2 mate backRankMate queenRookEndgame short
DpIJZ,rookEndgame long
DpMyN,mateIn1 mate kingsideAttack oneMove
DpmWP,pin short
DpqkP,mateIn1 mate kingsideAttack oneMove
Dpqls,mateIn1 mate kingsideAttack oneMove
Dq1C1,deflection short
DqJZu,mateIn2 mate short
DqW18,mateIn2 mate sacrifice queensideAttack short
Dql61,short
DrBxf,mateIn2 mate doubleBishopMate short
DrRAk,pin capturingDefender veryLong
DrVqN,mateIn1 mate oneMove
DrXwY,mateIn2 mate attraction advancedPawn promotion kingsideAttack short
Drisd,mateIn1 mate oneMove
DrwfX,hangingPiece short
Ds9gU,short
Dsh8x,mateIn1 mate oneMove
Dstr0,fork short
DsxDz,kingsideAttack long
Dt8Ys,advancedPawn rookEndgame long
DtLQp,mateIn1 mate queenEndgame oneMove
DtXLb,mateIn2 mate short
DtYF6,quietMove rookEndgame short
Dtmv5,fork short
DtnNu,mateIn4 mate backRankMate deflection veryLong
Dto4Q,defensiveMove short
DtpxL,queensideAttack long
Du141,mateIn2 mate short
Du2Ux,short
Du3p3,defensiveMove rookEndgame long
Du89r,advancedPawn discoveredAttack clearance short
DuIli,discoveredAttack short
DuWBF,advancedPawn quietMove pawnEndgame veryLong
DuaAP,deflection hangingPiece long
Dujsw,advancedPawn short
DvEVv,long
Dvmbd,fork short
DwPen,defensiveMove short
DwXWC,discoveredAttack long
Dwf0U,mateIn1 mate kingsideAttack oneMove
DwnJj,fork long
DxJXJ,advancedPawn promotion pawnEndgame veryLong
DxO0F,sacrifice veryLong
DxTSs,attraction sacrifice fork exposedKing pin long
DxiIl,hangingPiece short
DximC,pawnEndgame short
DxvBm,long
DyGJH,short
DybsL,long
DykrG,pin attackingF2F7 short
Dyvrt,mateIn2 mate short
Dz7GB,quietMove rookEndgame short
DzPLr,deflection advancedPawn promotion rookEndgame veryLong
DzUkW,advancedPawn quietMove rookEndgame long
DzXTW,mateIn3 mate sacrifice long
DzlQe,rookEndgame veryLong
Dzn3T,advancedPawn collinearMove long
Dzrty,kingsideAttack long
E09zL,mateIn2 mate kingsideAttack short
E0b4N,discoveredAttack long
E0gMu,advancedPawn fork long
E0pZe,fork short
E0x6Y,mateIn2 mate short
E0ygZ,fork veryLong
E12oy,mateIn1 mate rookEndgame oneMove
E13K0,defensiveMove pawnEndgame short
E199n,clearance veryLong
E1MLJ,pawnEndgame long
E1MSr,short
E1cNR,mateIn2 mate rookEndgame short
E1tfK,long
E1xgl,deflection discoveredAttack kingsideAttack short
E1y7y,advancedPawn discoveredAttack short
E2YLd,hangingPiece short
E2fzU,skewer veryLong
E2jLg,mateIn2 mate sacrifice kingsideAttack short
E30qt,attraction deflection fork long
E3dd2,mateIn2 mate backRankMate short
E3jWd,mateIn1 mate backRankMate hangingPiece oneMove
E3ni8,exposedKing pin veryLong
E4koR,mateIn2 mate short
E5GPC,short
E5Mbq,defensiveMove long
E5Qr4,discoveredAttack long
E5V3g,rookEndgame long
E5giB,mateIn2 mate sacrifice short
E5k8P,mateIn1 mate oneMove
E5oEc,rookEndgame long
E5wH4,long
E5y7w,quietMove defensiveMove pawnEndgame veryLong
E60bs,hangingPiece intermezzo long
E68oT,fork short
E6TNt,deflection veryLong
E6kp9,advancedPawn short
E6pgc,attraction sacrifice discoveredAttack exposedKing long
E76yc,deflection advancedPawn knightEndgame veryLong
E7LyV,short
E7mVZ,mateIn1 mate doubleCheck oneMove
E7nhB,mateIn2 mate short
E7pip,fork short
E87Mz,fork long
E8LOG,short
E8Zi2,sacrifice short
E8ba9,mateIn2 mate backRankMate short
E8efA,pawnEndgame short
E8xP6,mateIn2 mate short
E9OgZ,mateIn1 mate oneMove
E9Xog,mateIn2 mate short
E9ieF,mateIn1 mate oneMove
E9o0V,mateIn3 mate sacrifice kingsideAttack long
E9sE9,advancedPawn short
EA1ZU,advancedPawn defensiveMove promotion short
EAC32,quietMove enPassant veryLong
EADUq,long
EAKrI,discoveredAttack short
EATQc,long
EAW0T,mateIn3 mate advancedPawn exposedKing promotion queenEndgame long
EAgIW,veryLong
EB8y8,kingsideAttack short
EBBXR,short
EC6PK,defensiveMove rookEndgame long
ECGUQ,discoveredAttack short
ECSpn,mateIn2 mate sacrifice short
ECayj,short
ECf5g,rookEndgame long
EDI1p,long
EDJ4s,hangingPiece long
EDqAX,rookEndgame long
EDwId,clearance veryLong
EEKj4,pawnEndgame long
EEaaC,mateIn3 mate long
EEtGr,short
EFdA8,short
EFnTn,fork veryLong
EFq6g,mateIn1 mate hangingPiece oneMove
EFuAB,hangingPiece rookEndgame short
EG0aD,pawnEndgame short
EGVb6,mateIn2 mate kingsideAttack short
EHDrU,deflection exposedKing long
EHMV1,short
EHNnk,mateIn2 mate advancedPawn fork short
EHhQ3,deflection fork veryLong
EICv9,skewer short
EIJAe,mateIn1 mate oneMove
EISF4,short
EIjeh,mateIn2 mate backRankMate sacrifice short
EJX1J,mateIn1 mate attackingF2F7 oneMove
EJZkU,mateIn2 mate fork short
EKEfN,mateIn2 mate backRankMate short
EKEwY,mateIn2 mate backRankMate sacrifice short
EKGuk,advancedPawn defensiveMove long
EKHv5,long
EKSfg,mateIn1 mate hangingPiece kingsideAttack oneMove
EKTgA,mateIn3 mate attraction sacrifice long
EKmBR,pawnEndgame short
EKqU5,mateIn2 mate doubleCheck short
ELKmc,short
ELhrT,exposedKing long
EMQhl,discoveredAttack kingsideAttack short
EMSmR,mateIn2 mate short
ENFzI,mateIn2 mate queenEndgame short
ENdqh,deflection knightEndgame short
ENitM,clearance long
ENkdO,pin long
ENloo,attraction sacrifice kingsideAttack short
EO26I,sacrifice long
EO47V,quietMove short
EOXbh,long
EOyKW,mateIn4 mate sacrifice veryLong
EOyg6,discoveredAttack short
EP0qd,mateIn1 mate oneMove
EP7U7,mateIn2 mate kingsideAttack short
EPFRC,short
EPFmo,deflection short
EPUw8,mateIn2 mate kingsideAttack short
EPdbI,mateIn1 mate kingsideAttack oneMove
EPwiS,mateIn2 mate attraction sacrifice short
EQRmy,mateIn3 mate sacrifice queensideAttack long
EQSUo,fork long
EQj8O,sacrifice fork long
EQoXm,mateIn1 mate oneMove
EQpY8,fork short
EQtDi,mateIn1 mate oneMove
ERCtS,mateIn1 mate oneMove
ERkc7,pin short
ESQM8,long
ESS8T,mateIn1 mate oneMove
ESWBS,mateIn2 mate pin kingsideAttack short
ESgkQ,mateIn1 mate oneMove
ESoJI,pin short
ESrUV,short
ESsVd,long
ETxkJ,mateIn1 mate kingsideAttack oneMove
EUNz6,fork long
EUVQ8,clearance long
EUp1A,short
EV0T4,short
EV87L,veryLong
EVQiv,bishopEndgame short
EVTh2,mateIn1 mate oneMove
EVqWO,mateIn2 mate short
EVwQh,fork short
EVyfJ,mateIn2 mate deflection kingsideAttack short
EW8Iz,veryLong
EWL2W,attraction kingsideAttack short
EWdby,mateIn2 mate short
EWrni,bishopEndgame long
EWwqV,short
EX7v5,mateIn3 mate backRankMate sacrifice long
EXFvB,pin long
EYUFv,advancedPawn clearance promotion veryLong
EYVrw,discoveredAttack short
EYkDA,attraction pin veryLong
EYshY,short
EZNHP,fork long
EZNh6,short
EZVT8,mateIn2 mate advancedPawn pawnEndgame short
EZVk9,mateIn1 mate kingsideAttack oneMove
EZWLw,mateIn1 mate kingsideAttack oneMove
EZefY,long
Ea3sX,short
Ea7D0,deflection pin short
EaKds,quietMove defensiveMove long
EarOG,attraction sacrifice discoveredAttack pin kingsideAttack long
EavoL,short
EawRw,mateIn1 mate oneMove
Ec328,long
Ec89Z,long
EcGr1,attraction sacrifice fork veryLong
EcZk2,deflection short
Ecb7Q,sacrifice kingsideAttack veryLong
Ecbmh,fork short
Eclfj,defensiveMove short
EcvKq,fork short
EdGnb,mateIn2 mate backRankMate fork short
EdPOE,mateIn2 mate backRankMate short
EdTnE,fork short
Ee3BE,mateIn2 mate short
Ee4op,fork short
EeBrm,advancedPawn defensiveMove long
EeJQq,sacrifice skewer long
EeX1j,mateIn1 mate oneMove
Eee9T,quietMove rookEndgame long
EeeCZ,attraction advancedPawn promotion long
EehbB,mateIn1 mate doubleCheck oneMove
EenN1,long
Eetmj,mateIn3 mate backRankMate long
Eev1s,fork short
Eex0M,mateIn2 mate kingsideAttack short
EfDEG,short
EfNzO,defensiveMove fork pin long
Efak7,sacrifice pin kingsideAttack veryLong
EfrKj,quietMove long
Efvbs,skewer queenEndgame short
EgMOu,advancedPawn short
EgQAs,fork short
EgR1f,attraction fork long
EgpVJ,mateIn2 mate sacrifice short
Eh248,mateIn1 mate oneMove
Eh6Y7,sacrifice long
EhfKl,mateIn1 mate oneMove
EhxrG,short
Ei9GO,fork long
EiAhB,mateIn3 mate smotheredMate doubleCheck sacrifice kingsideAttack long
EiICf,mateIn1 mate oneMove
EiRr9,fork exposedKing veryLong
EiyCD,fork discoveredAttack short
EjD1F,short
EjJC6,mateIn1 mate oneMove
EjY7Y,rookEndgame veryLong
Ek9Yt,fork exposedKing long
EkKNN,fork long
EkQj7,mateIn1 mate oneMove
EkVqR,hangingPiece intermezzo capturingDefender short
EkciD,attraction exposedKing long
ElDHX,exposedKing veryLong
Ele8m,quietMove defensiveMove queenRookEndgame long
Elpt6,long
Em2A7,short
EmD6q,short
EmE9i,mateIn1 mate oneMove
EmNE0,sacrifice pin veryLong
EmZgK,long
EmkNx,advancedPawn short
Emq9x,attraction kingsideAttack long
Emrvl,discoveredAttack short
EmuOR,mateIn3 mate sacrifice queensideAttack long
Emzub,fork long
EncDh,mateIn1 mate oneMove
Engq1,mateIn1 mate pin oneMove
EnoOo,queenRookEndgame short
EnvZ5,mateIn2 mate pin short
EoIpM,mateIn3 mate sacrifice long
EoT0X,sacrifice fork clearance long
EoizH,mateIn1 mate oneMove
EotV3,pawnEndgame veryLong
EovqY,attraction discoveredAttack short
EpU9u,pawnEndgame long
EpVKU,deflection pin clearance long
EpwFM,long
Eq4FS,trappedPiece short
EqNyi,long
EqQpS,mateIn1 mate queensideAttack oneMove
EqYAS,queenRookEndgame short
Eqeu0,mateIn1 mate kingsideAttack oneMove
Eqiq7,mateIn2 mate kingsideAttack short
EqsX3,advancedPawn bishopEndgame veryLong
ErBd6,mateIn1 mate oneMove
Erb0o,mateIn1 mate oneMove
ErfWa,deflection quietMove veryLong
ErvjW,quietMove pawnEndgame long
ErzZK,mateIn2 mate backRankMate short
Es7yv,skewer rookEndgame short
EsAGa,fork clearance long
EsMAq,fork short
Esf0Y,long
EsihF,fork short
Et3hY,mateIn1 mate oneMove
EtQX6,mateIn2 mate short
EtdDF,deflection long
EuFSS,mateIn2 mate short
EuIzW,short
EuVIR,long
EuncA,fork pin short
EvFO1,pin clearance veryLong
EvJ3X,short
EvSBO,mateIn1 mate oneMove
Evvor,discoveredAttack short
Ew4BQ,mateIn1 mate oneMove
EwFkR,mateIn3 mate sacrifice long
EwIfR,kingsideAttack veryLong
EwLyR,knightEndgame veryLong
EwexH,pawnEndgame long
Ewthe,mateIn1 mate oneMove
Exhee,mateIn2 mate short
EynZZ,veryLong
Eyp5W,mateIn3 mate sacrifice exposedKing long
EyxW3,long
EzaOB,short
Ezkhm,long
F07Me,mateIn2 mate short
F0eil,discoveredAttack short
F0l13,deflection exposedKing rookEndgame veryLong
F0yGI,exposedKing rookEndgame veryLong
F13wL,deflection fork long
F1P49,mateIn2 mate short
F23yx,mateIn2 mate attraction sacrifice kingsideAttack short
F2NxR,mateIn2 mate short
F2Pui,skewer short
F2cjb,mateIn2 mate attraction advancedPawn promotion kingsideAttack short
F3EL7,deflection short
F3ctE,mateIn3 mate long
F43du,long
F4Cda,mateIn1 mate oneMove
F4LYA,short
F4c2b,pawnEndgame long
F4ntR,mateIn1 mate advancedPawn attackingF2F7 oneMove
F5B1Q,mateIn2 mate rookEndgame short
F5Hm2,discoveredAttack kingsideAttack short
F5OV5,mateIn1 mate rookEndgame oneMove
F5Xwy,fork short
F638S,short
F6PDA,queensideAttack short
F6Rla,long
F6l04,advancedPawn veryLong
F6nHL,exposedKing rookEndgame long
F710r,long
F7Dzy,short
F7GgL,discoveredAttack long
F7QdU,short
F7RWD,mateIn2 mate short
F7SpS,discoveredAttack kingsideAttack short
F8Ejx,defensiveMove long
F8Jgp,short
F8Neo,mateIn2 mate attraction deflection short
F8QEJ,fork short
F8S1L,fork short
F99IN,deflection short
F9Aee,mateIn2 mate queensideAttack short
F9Ucb,advancedPawn rookEndgame long
F9miL,mateIn2 mate backRankMate sacrifice short
F9pbH,long
FAEyY,mateIn3 mate backRankMate long
FAI2F,mateIn1 mate dovetailMate oneMove
FALk9,fork short
FAUbn,discoveredAttack short
FAmuU,mateIn1 mate oneMove
FAxt8,mateIn2 mate rookEndgame short
FB1d8,knightEndgame short
FBXMJ,skewer rookEndgame short
FCUlv,mateIn2 mate short
FCV4c,quietMove trappedPiece veryLong
FDfim,mateIn2 mate fork short
FDq6f,long
FDurJ,fork short
FE1rP,mateIn2 mate short
FE47U,sacrifice short
FEHTr,mateIn2 mate backRankMate queenEndgame short
FELUs,mateIn1 mate oneMove
FEOeS,advancedPawn promotion short
FEuzD,sacrifice veryLong
FFEpb,mateIn2 mate short
FFNOA,mateIn2 mate short
FFSV3,mateIn2 mate attraction sacrifice short
FFZlT,mateIn2 mate doubleCheck short
FFfRG,mateIn1 mate oneMove
FGZNx,short
FGvR6,mateIn2 mate kingsideAttack short
FH2eo,mateIn1 mate kingsideAttack oneMove
FHEfm,attraction sacrifice fork long
FHGgR,pin short
FHeQt,deflection discoveredAttack bishopEndgame long
FHk47,quietMove bishopEndgame long
FHpic,mateIn1 mate advancedPawn promotion oneMove
FHsqM,mateIn1 mate kingsideAttack oneMove
FI2L5,attraction short
FIBd9,sacrifice long
FJ3n5,discoveredAttack long
FJ5da,mateIn4 mate attraction sacrifice kingsideAttack veryLong
FJ8d0,exposedKing queenRookEndgame long
FJHuQ,pin short
FJSMV,queenRookEndgame short
FJUAK,mateIn1 mate oneMove
FJYHy,fork short
FJj7H,quietMove defensiveMove pawnEndgame long
FJjfB,defensiveMove long
FK6vG,short
FKMyT,long
FKNGJ,mateIn2 mate short
FKfnW,mateIn2 mate short
FKkTf,attraction pin long
FKnYo,pin clearance short
FL3Zx,mateIn1 mate oneMove
FLCpU,deflection short
FLDck,mateIn1 mate kingsideAttack oneMove
FLEMa,mateIn1 mate kingsideAttack oneMove
FLKmC,knightEndgame short
FLSIE,sacrifice clearance queensideAttack long
FLTKb,mateIn2 mate short
FLYLu,short
FLZjc,mateIn2 mate kingsideAttack short
FLokM,short
FLxtq,defensiveMove short
FMWdy,mateIn1 mate backRankMate oneMove
FMXa4,pawnEndgame short
FMuVk,mateIn2 mate kingsideAttack short
FMvml,mateIn1 mate oneMove
FN7iz,mateIn2 mate short
FNgp6,discoveredAttack short
FNwmn,mateIn1 mate oneMove
FNxNh,fork short
FNy2F,short
FOBHr,mateIn2 mate short
FPolC,fork short
FPvzC,fork long
FQ41H,mateIn1 mate oneMove
FQ9AW,deflection pin long
FQL5a,mateIn1 mate oneMove
FQLwY,advancedPawn fork exposedKing veryLong
FQVRE,mateIn1 mate hangingPiece oneMove
FQfri,quietMove pawnEndgame long
FQiP4,advancedPawn short
FRY0q,mateIn2 mate short
FRizR,quietMove defensiveMove pawnEndgame long
FRluT,advancedPawn quietMove defensiveMove knightEndgame veryLong
FRqOb,mateIn1 mate kingsideAttack oneMove
FRqlx,mateIn2 mate short
FS2QD,short
FS70C,quietMove pawnEndgame long
FS7FV,mateIn3 mate backRankMate sacrifice long
FSD87,hangingPiece long
FSfVu,mateIn1 mate oneMove
FSryL,pin short
FSsPP,defensiveMove veryLong
FSyPw,short
FT3kP,kingsideAttack long
FT9Hx,short
FTJOT,fork short
FTMLg,short
FTOtO,short
FTSKY,fork long
FTpnK,fork short
FTsqY,mateIn2 mate kingsideAttack short
FUDp8,attraction advancedPawn fork veryLong
FUcd8,mateIn2 mate short
FUegc,attraction sacrifice short
FUieN,short
FUkLp,advancedPawn rookEndgame short
FUoTm,mateIn1 mate oneMove
FUqDj,mateIn1 mate oneMove
FUrAn,defensiveMove pawnEndgame long
FUwUu,advancedPawn hangingPiece promotion knightEndgame long
FV2x5,short
FV8PI,mateIn2 mate sacrifice short
FVEHm,xRayAttack long
FVMlJ,mateIn1 mate oneMove
FVevV,advancedPawn defensiveMove short
FViGD,mateIn1 mate oneMove
FVyd3,mateIn2 mate short
FW2zw,advancedPawn pawnEndgame long
FWDaN,mateIn3 mate backRankMate sacrifice long
FWDds,mateIn3 mate backRankMate long
FWEGS,mateIn1 mate smotheredMate oneMove
FWK72,mateIn1 mate kingsideAttack oneMove
FX1jl,long
FX3h5,fork long
FX6fX,fork short
FXd6B,mateIn1 mate kingsideAttack oneMove
FXexJ,defensiveMove pin short
FY7q7,bishopEndgame long
FYjCS,deflection discoveredAttack pin kingsideAttack long
FYrDn,hangingPiece long
FYznq,mateIn1 mate oneMove
FZ3HF,mateIn1 mate attackingF2F7 oneMove
FZAG3,short
FZD4B,mateIn1 mate kingsideAttack oneMove
FZPOx,mateIn2 mate short
FZst2,attraction sacrifice veryLong
FZyD9,defensiveMove pawnEndgame long
Fa0OH,mateIn2 mate attraction short
FaRmG,long
FaiBd,defensiveMove exposedKing pin veryLong
Favk6,short
Fb8HJ,mateIn1 mate oneMove
FbbBH,mateIn1 mate oneMove
FbeVZ,veryLong
FbuDh,mateIn1 mate pin oneMove
FcApV,fork short
FcY9M,mateIn1 mate rookEndgame oneMove
FcdE4,mateIn1 mate kingsideAttack oneMove
FctJJ,mateIn2 mate kingsideAttack short
Fcwri,defensiveMove short
FdHQ4,fork short
FdIux,mateIn1 mate oneMove
FdPYv,mateIn1 mate hookMate oneMove
FdUKC,mateIn3 mate rookEndgame long
Fddvn,short
Fdu3c,discoveredAttack short
FdzNZ,mateIn1 mate oneMove
Fe3Jj,mateIn2 mate short
FeEyK,mateIn2 mate short
FerBG,mateIn1 mate queensideAttack oneMove
FfEjw,quietMove long
FfKqS,mateIn1 mate oneMove
FfTD2,attraction fork veryLong
FfTWd,fork long
FfWqO,long
FfYAJ,mateIn1 mate rookEndgame oneMove
Ffngf,sacrifice exposedKing kingsideAttack veryLong
FfohL,discoveredAttack long
FfqJe,defensiveMove long
FgLSS,attraction sacrifice fork long
FgNqr,mateIn2 mate short
FgmW4,fork short
FhMX8,mateIn2 mate kingsideAttack short
FhaX6,mateIn2 mate backRankMate short
FhkB1,mateIn3 mate backRankMate long
Fhmcl,mateIn1 mate kingsideAttack oneMove
Fi368,long
FiBUP,advancedPawn quietMove pawnEndgame long
FiCm6,discoveredAttack short
FiU08,mateIn2 mate backRankMate short
FiU6S,mateIn4 mate backRankMate veryLong
FiZxU,mateIn1 mate oneMove
FikxS,discoveredAttack short
Fiohr,attraction sacrifice fork long
FjF71,mateIn1 mate oneMove
FjG64,advancedPawn fork long
FjHhc,sacrifice pin veryLong
FjOPu,skewer kingsideAttack veryLong
FjWTS,mateIn1 mate oneMove
Fk3yv,mateIn3 mate exposedKing long
Fk7T1,mateIn1 mate oneMove
FkGDP,defensiveMove short
FkHyE,fork hangingPiece long
FkeeH,fork short
FkwPE,pin short
Fl7xc,mateIn1 mate oneMove
FlBCj,short
FlCKp,defensiveMove bishopEndgame short
FlFao,defensiveMove short
FlO8X,advancedPawn rookEndgame long
FljnX,mateIn1 mate oneMove
FludH,defensiveMove rookEndgame short
Flyvh,defensiveMove enPassant pawnEndgame short
Fm3D2,mateIn2 mate advancedPawn kingsideAttack short
Fm90b,long
FmATz,mateIn1 mate hookMate oneMove
FmBLm,defensiveMove long
Fmp7V,advancedPawn promotion rookEndgame veryLong
FnM6M,discoveredAttack short
FnTmV,mateIn1 mate oneMove
FnecK,fork long
Fo9Ez,defensiveMove short
FofmH,sacrifice fork attackingF2F7 long
Fonon,deflection knightEndgame long
Fp83G,quietMove long
FpatM,mateIn2 mate short
Fpblg,long
Fq2oC,short
FqD8X,fork short
FqHi0,long
FqcPJ,deflection sacrifice pin long
Fqe1L,mateIn1 mate oneMove
Fr9vE,fork short
FrGsF,long
FrS1u,advancedPawn promotion long
FrVok,fork long
FrYVS,pin long
FroHV,mateIn1 mate oneMove
Fs2dJ,pin short
FsLkb,mateIn1 mate oneMove
FsMNj,advancedPawn sacrifice promotion veryLong
Fsawc,clearance long
FsrT3,mateIn2 mate short
Ftjlh,quietMove skewer long
FtlIl,mateIn1 mate hangingPiece kingsideAttack oneMove
FtpS0,advancedPawn exposedKing promotion pawnEndgame veryLong
FuAsw,mateIn2 mate short
FuKAm,rookEndgame long
FuMSc,advancedPawn short
FuURL,clearance short
Fuf8A,attraction deflection advancedPawn promotion long
Fuke5,mateIn2 mate short
FupoF,kingsideAttack short
FurPr,pawnEndgame long
Fure8,advancedPawn rookEndgame short
Fv1Kt,deflection discoveredAttack short
Fv4en,fork short
FvUmB,fork veryLong
