PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,GameDate
AIK7p,2k1r3/ppp2ppp/5n2/3P3q/1PP1r3/6BP/1Q3PP1/R4K1R w - - 1 18,f1g1 e4e1 a1e1 e8e1 g1h2 f6g4,1318,313,100,9,middlegame,https://lichess.org/WBepKDWd#35,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,,2026-06-07
AIZY5,6k1/2b3p1/6p1/3Pppq1/1p2Pn2/1P1NQ2P/5P1K/5B2 w - - 0 34,e4f5 e5e4 d5d6 c7d6 d3f4 d6f4 h2h1 f4e3,1698,84,100,86,endgame,https://lichess.org/GaxRi1R8#67,,,2026-06-04
AIm7x,2r2rk1/p4pp1/1p2p2p/2b3qn/2P5/3Q1PB1/PP3P1P/1BRR2K1 b - - 7 20,h5g3 d3h7,1152,233,100,3,middlegame,https://lichess.org/XgJXipGU/black#40,,,2026-06-07
AImLZ,2q3r1/1p6/3Qp1p1/1k1pP3/p2P2P1/6N1/3B1PK1/8 b - - 4 41,c8c6 d6b4 b5a6 b4a5,1283,92,100,74,endgame,https://lichess.org/ngatlY8C/black#82,,,2026-06-04
AIpFH,8/8/2pk4/1p2r2p/p3pN2/P3KbP1/1P1R3P/8 b - - 5 47,d6e7 f4g6 e7e6 g6e5,987,83,100,82,endgame master,https://lichess.org/EXCRnfzZ/black#94,,,2026-06-02
AJBES,4k3/p7/1p1PP3/3K1Np1/8/P7/4r3/8 b - - 2 47,e2d2 d5c6 d2c2 c6b7,1656,88,100,35,endgame,https://lichess.org/4U4CJk7D/black#94,,,2026-06-04
AJXp7,1k2r3/1pbR1Rp1/p1p3P1/8/4pp2/KQP5/4q3/8 b - - 5 52,e8c8 d7c7 c8c7 b3b6 e2b5 b6c7,2306,84,100,57,endgame master,https://lichess.org/qocJze8R/black#104,,,2026-06-07
AJZ7g,6k1/p1p2ppp/q1N1p3/1p6/1P2P3/P4B1P/5bP1/3Q3K b - - 0 26,a6c6 d1d8 c6e8 d8e8,823,121,100,19,endgame,https://lichess.org/mYpzHDLd/black#52,,,2026-06-04
AJbqk,2k2r2/Bbp5/7p/5r2/2B5/2N5/PP3nPb/R4R1K w - - 0 27,h1h2 f5h5 h2g3 h5g5 g3h4 f8f4 g2g4 f4g4,2079,81,100,118,middlegame,https://lichess.org/3AqYhaE3#53,,,2026-06-04
AK4Nu,r4r2/ppq3p1/2p1Rnk1/5pN1/7Q/P1P5/2P2PPP/R5K1 w - - 1 19,a1e1 f8h8 h4g3 c7g3 h2g3 g6g5,1718,78,100,57,middlegame,https://lichess.org/gqfg03uH#37,,,2026-06-04
AK91K,3r2k1/3q1pp1/8/4b2p/4P1PP/6RK/Q7/1B3R2 w - - 2 41,g3g2 d7d3 b1d3 d8d3 g2g3 d3g3 h3h2 g3a3 h2h1 a3a2,1801,76,100,78,middlegame,https://lichess.org/xJKLn4ug#81,,,2026-06-04
AKQKE,r1b1r1k1/pp4p1/6p1/q2p2N1/5Q2/1PN2P2/nP6/2KR3R w - - 0 23,c3a2 c8f5 h1h8 g8h8 f4h2 h8g8,1996,81,100,39,middlegame,https://lichess.org/AmANGFQb#45,,,2026-06-01
AKgMa,r5k1/4nppp/3np3/1qNpN2Q/1P1P4/2P1R2P/5PP1/6K1 w - - 8 25,e3g3 a8a1 g1h2 b5f1 g3g7 g8g7,1500,500,100,11,middlegame,https://lichess.org/I7eRLY3v#49,,,2026-06-08
AKtWB,6k1/3R1p2/R3p1pp/1p1pP1b1/3P4/3Q1P1P/6PK/4q3 w - - 3 42,d3c2 g5f4 g2g3 e1g3 h2h1 g3h3 h1g1 f4e3,1609,349,100,1,endgame,https://lichess.org/tmEVverM#83,,,2026-06-08
AL9op,r4rk1/2q2pbp/pp1ppnp1/6B1/2P1b3/P1N2P1P/1P2B1P1/R2Q1RK1 w - - 0 16,f3e4 c7c5 f1f2 c5g5,1397,103,100,30,middlegame,https://lichess.org/qwtZRocw#31,English_Opening English_Opening_Great_Snake_Variation,,2026-06-05
AL9qx,r5k1/5r1p/2p2ppB/q2p4/2nQ2B1/6P1/P3PP1P/3R2K1 b - - 5 26,a5a4 g4e6 c4e5 d4a4 a8a4 d1b1,2142,115,100,22,master middlegame,https://lichess.org/PwlIduoZ/black#52,,,2026-06-05
ALA0H,6k1/1b2bppp/2p5/1pP1q3/4N2P/3Q2P1/5PBK/8 b - - 1 29,e7c5 d3d7 e5e7 e4c5 e7d7 c5d7,2385,88,100,31,endgame,https://lichess.org/hj8MabpC/black#58,,,2026-06-02
ALDmk,8/5p1p/6k1/5R2/4K1rP/4P3/8/8 w - - 1 50,f5f4 g6h5 e4f5 g4f4 e3f4 h5h4,1894,134,100,58,endgame,https://lichess.org/t3oljI5m#99,,,2026-06-07
AMLLQ,6k1/5pp1/p2p3p/2pP4/2P5/P4RQP/5PPK/2q1r3 w - - 2 32,g3d6 e1h1 h2g3 c1g5,1223,292,100,5,endgame,https://lichess.org/5mTs6q0f#63,,,2026-06-08
AMjRj,3R4/5R1p/4p1p1/2k1b3/2Bp4/1P3Kr1/8/8 w - - 12 50,f3e4 g3e3,1233,195,100,7,endgame master,https://lichess.org/LDoWfnHS#99,,,2026-06-04
AMs9k,5r2/8/2R5/8/8/1B1p2P1/P2k2KP/3n4 w - - 3 38,c6d6 d1e3 g2h3 f8h8 d6h6 h8h6,1587,77,100,87,endgame,https://lichess.org/NDDxmDJC#75,,,2026-06-03
ANHDP,5rk1/2p5/pp1p2r1/3P3p/PPPbN3/4pP1P/6P1/5RRK w - - 1 39,f1d1 e3e2 d1d4 f8f3 g2f3 g6g1 h1g1 e2e1q,1940,76,100,88,endgame,https://lichess.org/p91Y00JU#77,,,2026-06-02
ANIrj,r4rk1/pbp2pp1/1pn1p2p/4N1q1/3PQ3/P1PB4/2P2PPP/R3R1K1 b - - 2 15,c6e5 e4h7,970,113,100,31,middlegame,https://lichess.org/L0f5trLh/black#30,Trompowsky_Attack Trompowsky_Attack_Classical_Defense,,2026-06-01
ANncu,r2q1b1r/pQ2pkp1/2n1bn1p/8/3P4/5N2/PP2BPPP/R1B1K2R b KQ - 0 12,d8c8 b7c6 c8c6 f3e5 f7g8 e5c6,1747,78,100,178,middlegame,https://lichess.org/NDykzNZF/black#24,Caro-Kann_Defense Caro-Kann_Defense_Alien_Gambit,,2026-06-01
AO0S0,r2qkbnr/pbpnpppp/1p1p4/7Q/2BPP3/2N5/PPP2PPP/R1B1K1NR b KQkq - 3 5,c7c5 h5f7,1005,189,100,4,opening,https://lichess.org/bHeTNuhV/black#10,English_Defense English_Defense_Other_variations,,2026-06-07
AO3YU,2kr3r/ppp3pp/3b1p2/8/3P4/1PP2Q2/P2B1KPq/4RR2 b - - 1 20,d6g3 f3g3 h2g3 f2g3,932,84,100,44,middlegame,https://lichess.org/hA9XUIk9/black#40,,,2026-06-02
AODUw,r5k1/5rbp/2p1p1p1/qp1pP3/2nP1BP1/p3P1N1/P1Q2PK1/1R5R b - - 5 24,a8f8 h1h7 g8h7 b1h1 h7g8 c2g6 f7f4 e3f4,1959,95,100,23,middlegame,https://lichess.org/R0ipf1vA/black#48,,,2026-06-04
AOFBH,4r3/8/3k2p1/p1P2b2/1P5n/6R1/P2K4/3B4 b - - 0 50,d6c6 d1a4 c6c7 a4e8,1512,158,100,10,endgame,https://lichess.org/NwIJZTa3/black#100,,,2026-06-07
AOKy8,8/4b3/4p2p/3nP3/kpK2P2/1N5P/3B2r1/1R6 b - - 4 40,g2g3 b1a1,1414,118,100,20,endgame,https://lichess.org/nZ7L83aK/black#80,,,2026-06-08
AOaQq,8/8/p7/8/2Np4/1P1K1kp1/8/8 w - - 0 73,c4d2 f3f4 d3e2 d4d3 e2e1 a6a5,2304,109,100,31,endgame,https://lichess.org/ywHX7wIs#145,,,2026-06-04
AOd3B,rn3rk1/pp1bp1b1/1q4B1/4P3/3p1PP1/2P4Q/PP6/R1B1K3 b Q - 0 18,g7h6 h3h6 f8f7 g6f7 g8f7 h6h7,1479,111,100,59,middlegame,https://lichess.org/FEwgGVxz/black#36,Caro-Kann_Defense Caro-Kann_Defense_Gurgenidze_System,,2026-06-05
AOfw6,r4rk1/p2b1ppp/1q2p3/2pnP1N1/1b3P2/PPpQ3P/4N1P1/R1B2R1K b - - 1 18,d7b5 d3h7,1073,205,100,3,middlegame,https://lichess.org/pIJe8GQS/black#36,French_Defense French_Defense_La_Bourdonnais_Variation,,2026-06-07
AOiSw,4qr1k/p1pb2pp/1p1p1r2/n2BpN2/4P3/2PQ3R/P1P2PPP/4R1K1 b - - 9 20,g7g6 h3h7 h8h7 d3h3,1500,500,100,9,middlegame,https://lichess.org/0fHzT5tt/black#40,,,2026-06-08
APLCm,3rr3/6kp/3Pp1p1/pp3p2/1q3P2/1P5P/2P1Q1PK/4RR2 b - - 0 30,d8d6 e2e5 g7h6 c2c3,1581,152,100,16,endgame master,https://lichess.org/rjmF9LCE/black#60,,,2026-06-08
APUVD,2k5/pp4pp/2p5/8/6Pn/2P1QPNb/PPq4P/R1B3K1 w - - 4 29,e3f2 c2d1 g3f1 h4f3 g1h1 h3f1 c1d2 d1a1,1914,100,100,33,middlegame,https://lichess.org/PQ4nnjD2#57,,,2026-06-07
AQ5Rk,r2qk2r/1p1b1p2/p2p2p1/4p3/2QbPB2/2N3N1/PP4PP/R4R1K w kq - 0 18,f4e3 h8h2 h1h2 d8h4 h2g1 d4e3,1919,80,100,47,middlegame,https://lichess.org/u3sCfnVQ#35,Sicilian_Defense Sicilian_Defense_Keres_Variation,,2026-06-03
AQFZ1,6bk/1p5p/p2p1Qp1/4b1B1/1q6/6P1/P4P2/4R1K1 b - - 3 27,e5f6 g5f6,1164,218,100,14,endgame,https://lichess.org/U9JLUoqb/black#54,,,2026-06-08
AQaGH,r2qkbnr/2p2ppp/p1pp4/4P3/3p4/2N2Q1P/PPP2PP1/R1B1K2R b KQkq - 0 9,d6e5 f3c6 d8d7 c6a8,1002,87,100,63,middlegame,https://lichess.org/4u3yzkfC/black#18,Three_Knights_Opening Three_Knights_Opening_Other_variations,,2026-06-02
AQxsF,r1bqk2r/4nppp/p1p1p3/2b1P3/3N4/2N1B3/PPP2PPP/R2QK2R w KQkq - 2 11,d1f3 c5d4 e1c1 d4e3,1415,134,100,13,middlegame,https://lichess.org/XVgOQUfw#21,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,,2026-06-06
ARGfK,rnb1k2r/ppp2ppp/3p4/2b1P3/2P3q1/3B1NP1/PP4KP/RNBQ3R w kq - 2 10,e5d6 g4h3,1058,89,100,44,opening,https://lichess.org/KeGOI3eB#19,Indian_Defense Indian_Defense_Budapest_Defense,,2026-06-01
ARkcp,2k5/1pp2N2/p4P2/2P5/8/5RK1/2br4/8 b - - 0 41,d2d3 f3d3 c2d3 f7e5 d3e2 f6f7,1659,78,100,93,endgame,https://lichess.org/ORzuecBr/black#82,,,2026-06-01
ASUG1,rn3r2/1p2qppk/2p5/6P1/1bPP2b1/pP6/P2B1PP1/R2Q1K1R b - - 0 15,h7g6 d1g4 b4d2 g4h5 g6f5 h5h3 f5g5 h3h4 g5g6 h4e7,2119,137,100,12,middlegame,https://lichess.org/VtHGJKkv/black#30,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,,2026-06-08
ASaRK,rn3rk1/pp2b1p1/1np3qp/3pP3/3P1p1B/1PP2N1P/P1bN2P1/R2KQB1R w - - 3 17,d1c1 e7a3,1190,100,100,49,middlegame,https://lichess.org/cOxovKz6#33,Kings_Pawn_Game Kings_Pawn_Game_MacLeod_Attack,,2026-06-04
AShI6,4r3/7p/4NpkP/bp1P1Pp1/2p5/Pp5P/1P6/2KR4 b - - 0 36,g6f5 e6g7 f5g6 g7e8,1330,95,100,29,endgame,https://lichess.org/UGxshtQo/black#72,,,2026-06-02
ASlgA,3R4/7P/4p3/P3k3/8/3p4/1Kp4r/8 b - - 1 49,h2h1 h7h8q h1h8 d8h8,1466,87,100,80,endgame,https://lichess.org/nhaKGp82/black#98,,,2026-06-02
ASn2Z,2kr3r/5p2/p1b1p3/3p4/2pPN1pq/P3P3/2P1BPP1/R1Q1R1K1 w - - 0 23,e4g3 h4h2 g1f1 h2h1 g3h1 h8h1,1109,98,100,32,middlegame,https://lichess.org/iGUB6gIT#45,,,2026-06-04
AT40W,8/8/3k1ppp/p1pP4/4K1P1/1P5P/P7/8 b - - 2 44,d6d7 h3h4 d7c7 h4h5,2281,81,100,62,endgame,https://lichess.org/tb5p7LFv/black#88,,,2026-06-02
AT7ED,2r1q1kr/1Q5R/4N1n1/p2pPn1p/3P2P1/P7/5P2/5RK1 b - - 2 36,f5e7 h7g7,1022,92,100,32,middlegame,https://lichess.org/3s4aRm8M/black#72,,,2026-06-03
ATFqn,3rr1k1/4P1pp/p7/8/1q1pQ3/1p6/1P2N1PP/3R2K1 b - - 0 31,d8d7 e4e6 g8h8 e6d7 b4e7 d7e7,1489,76,100,97,endgame,https://lichess.org/65pwBWUc/black#62,,,2026-06-02
ATOBb,8/2p5/2k5/2p2K2/2PrR3/8/8/8 w - - 10 46,e4d4 c5d4 f5e4 c6c5 e4d3 c7c6,1181,244,100,8,endgame,https://lichess.org/kKVxaLtX#91,,,2026-06-02
ATa55,rn3rk1/ppp2pq1/7p/6P1/4Q3/3B1P1b/P1P1K2P/bN5R b - - 2 18,f8e8 e4e8 g7f8 d3h7 g8h7 e8f8,1397,86,100,65,middlegame,https://lichess.org/oK5F5C8V/black#36,French_Defense French_Defense_Exchange_Variation,,2026-06-03
ATcdj,1r1q1rk1/3bppbp/2np1np1/1p6/8/PPN1N1P1/1B2PPBP/R2Q1RK1 w - - 0 15,c3d5 f6d5 b2g7 d5e3,1413,87,100,62,master middlegame,https://lichess.org/cj9KkpVB#29,Zukertort_Opening Zukertort_Opening_Sicilian_Invitation,,2026-06-03
ATiWA,8/6K1/8/pk6/8/8/5P2/8 w - - 0 53,g7g6 a5a4 f2f4 a4a3 f4f5 a3a2 f5f6 a2a1q f6f7 a1h8,1806,77,82,57,endgame,https://lichess.org/y0BPcMxq#105,,,2026-06-05
AU0ZF,2Q5/7p/p3kppP/1p1bn3/8/1P6/PB3PPK/4q3 b - - 3 36,e6d6 b2a3 b5b4 a3b4 e1b4 c8f8 d6e6 f8b4,1692,142,100,29,endgame,https://lichess.org/Yh4QOKnW/black#72,,,2026-06-05
AU7gq,2kr1b1r/ppp2pp1/2n5/6Np/3P2nq/2N1B3/PP2BPK1/R2Q1R2 w - - 4 15,f1h1 g4e3 f2e3 h4g5,1315,297,100,3,middlegame,https://lichess.org/fqvxaNPa#29,Danish_Gambit_Declined Danish_Gambit_Declined_Sorensen_Defense,,2026-06-07
AUEDz,rn1q1r1k/3p1pb1/b1pPpN1p/p6Q/7N/pB4P1/1PP2RPP/2KR4 b - - 3 24,g7f6 h5h6 h8g8 f2f6 d8f6 h6f6,1348,77,100,91,middlegame,https://lichess.org/AQIgWtfr/black#48,,,2026-06-05
AVd3t,3rr1k1/p4RR1/1p4p1/2pB4/2Pn2P1/P7/1P1bp3/1K6 b - - 2 40,g8h8 g7h7 h8g8 f7g7 g8f8 g7g8,1774,193,100,4,middlegame,https://lichess.org/MCRvCbY5/black#80,,,2026-06-08
AVeha,6k1/1r3pp1/4p3/3pP2p/1p4qP/4P2R/2Q3PK/8 b - - 3 34,g4e4 c2c8 g8h7 c8b7,1275,291,100,14,endgame,https://lichess.org/LCL9DNJ9/black#68,,,2026-06-08
AW7Fj,r1b1kb1r/pp3ppp/1q6/3QPnB1/8/8/PP3PPP/2KR1B1R b kq - 0 13,b6c6 d5c6 b7c6 d1d8,1375,79,100,51,opening,https://lichess.org/EWOJBCoZ/black#26,French_Defense French_Defense_Knight_Variation,,2026-06-08
AWANh,n4r2/1p4kp/p2p2p1/8/4qp1Q/1P2B2P/P1P5/4R1K1 b - - 1 33,f8e8 e3f2 a8c7 e1e4,2053,136,100,21,endgame,https://lichess.org/KEUZSoTJ/black#66,,,2026-06-08
AWAUy,5k2/4ppbp/N6p/8/2R5/2p3P1/2n2P1P/3r1BK1 b - - 1 27,c2a3 c4c8 d1d8 c8d8,1130,311,100,4,endgame,https://lichess.org/oU04IGby/black#54,,,2026-06-05
AWQBi,r3k3/pbp2pp1/1p1p1qp1/6N1/Q1PR4/P3P3/1P3r2/2K3R1 b q - 1 22,e8f8 g5h7 f8e7 h7f6,1135,95,100,44,master middlegame,https://lichess.org/9kfMLEsA/black#44,,,2026-06-03
AWhkE,r1b2qk1/pp3Bnp/2pp4/5p2/2P2P2/1PQ3P1/PB1P3P/4R1K1 b - - 0 20,f8f7 e1e8 g7e8 c3h8,1264,290,100,1,middlegame,https://lichess.org/9Lm2N0YA/black#40,,,2026-06-08
AWlCt,2kr2r1/2p3b1/p5Pp/5p2/q2PbB2/2PNQ3/1P5P/2KR2R1 w - - 2 26,d3c5 a4c2,1268,84,100,36,middlegame,https://lichess.org/sOOrPnrU#51,,,2026-06-04
AXK9q,5r1k/1pp1R1p1/p4nBp/8/1P3q2/PQ5P/5PPK/8 w - - 3 33,h2g1 f6g4 h3g4 f4f2 g1h2 f2h4,2132,78,100,72,endgame,https://lichess.org/LeIDLzTj#65,,,2026-06-02
AXNXx,4r1k1/2p2pp1/3p4/1p4n1/1P1P2B1/6P1/5PK1/R7 b - - 0 33,e8e4 a1a8 g8h7 g4f5 g7g6 f5e4,1082,77,100,74,endgame,https://lichess.org/MUzjb4Be/black#66,,,2026-06-01
AXTDq,8/4n3/3k1K2/8/6PP/8/8/8 b - - 0 66,e7g8 f6g7 g8e7 h4h5,1552,107,100,62,endgame,https://lichess.org/KzRhtuWb/black#132,,,2026-06-07
AXa4l,1r1qr1k1/2p2p1p/3bBp1B/2p5/8/8/PpP2PPP/1R1QR1K1 b - - 0 21,f7e6 d1g4 g8f7 g4g7,1500,500,100,2,middlegame,https://lichess.org/n3Y6J1Tf/black#42,,,2026-06-08
AXefs,7r/3k1ppp/1Qn1pn2/3pq3/8/4BK1N/P4PPP/7R b - - 0 19,e5c3 h1c1 c6d4 b6d4 c3d4 e3d4,1801,77,100,75,middlegame,https://lichess.org/BxBOV9AM/black#38,,,2026-06-02
AYKsj,8/2bk4/1P3p2/P4n2/6Bp/3K3P/8/8 b - - 1 56,d7c6 b6c7 c6c7 g4f5,1769,114,100,21,endgame master,https://lichess.org/SL7aEqVv/black#112,,,2026-06-05
AYQbT,2r3k1/5pp1/4p2p/3pP3/1prP4/4KP1P/1P1RR1P1/8 w - - 0 37,e3d3 c4c3 b2c3 c8c3,1681,75,100,80,endgame,https://lichess.org/OQW8WZjx#73,,,2026-06-06
AYTpZ,2k3r1/p7/2p1N3/1p1pP3/3P4/6P1/4qR1P/5RK1 b - - 1 30,e2e4 f2f8 g8f8 f1f8 c8d7 e6c5 d7e7 c5e4,926,140,100,26,endgame,https://lichess.org/hIBMPc50/black#60,,,2026-06-04
AYoMu,2r1kb1r/5ppp/pqp1p1b1/3n4/Q2N4/2P5/PP2BPPP/R1B2RK1 w k - 0 14,e2a6 c8a8 a4c6 b6c6 d4c6 a8a6,1258,87,100,54,opening,https://lichess.org/fVMu0zUS#27,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,,2026-06-04
AYsQ0,r1bq1r1k/pp4pp/8/3B3R/1bPp2n1/3P2P1/PB1N1P2/R2Q2K1 b - - 4 18,g4f2 h5h7 h8h7 d1h5,1190,131,100,15,middlegame,https://lichess.org/12bTZuYn/black#36,Zukertort_Opening Zukertort_Opening_Queens_Gambit_Invitation,,2026-06-06
AZ3Os,1r3k2/2Np2pp/pr1P4/p2Qpq2/2P2p1n/5P2/P1PK2PP/3RR3 b - - 7 28,h4g2 e1e5 f5f6 e5f5 g2e3 f5f6,1551,246,100,11,middlegame,https://lichess.org/QpCoRN6J/black#56,,,2026-06-06
AZESx,r2q1rk1/p5pp/2p1p2B/3b4/3bp1Q1/1P2R3/P4PPP/R5K1 b - - 1 19,d4e3 g4g7,902,243,100,11,middlegame,https://lichess.org/9VMl5IBg/black#38,,,2026-06-03
AZNk4,rB1k1b1r/pR2pppp/8/3p4/3Pn1b1/2q2NP1/P2N1P1P/3QKB1R w K - 1 12,d1a4 e4d2 b8c7 d8c8,2325,97,100,39,middlegame,https://lichess.org/CD7m5Qbd#23,Queens_Pawn_Game Queens_Pawn_Game_Colle_System,,2026-06-06
AZxJj,2r5/3r4/p3R1pk/5p2/1Q3Pqp/2P2R2/PP3KP1/8 w - - 1 37,b4b6 d7d2 e6e2 d2e2 f2e2 g4g2,1467,81,67,47,endgame,https://lichess.org/Lw7426Ks#73,,,2026-06-05
Aa2XW,7k/7p/6p1/p2P4/3KB3/5P2/Pr4PP/8 b - - 0 38,b2a2 d5d6 a2d2 e4d3,1708,75,100,63,endgame,https://lichess.org/IQpdFk6F/black#76,,,2026-06-01
AbCex,2r2rk1/pp1n2pp/3p1p2/q2Pp3/2P5/1P6/P3QPPP/R1B1R1K1 w - - 1 17,e2g4 a5e1,1217,121,100,41,middlegame,https://lichess.org/ezqt51tu#33,Alekhine_Defense Alekhine_Defense_Other_variations,,2026-06-05
AbE46,4r2k/5pbp/p7/3Bn3/P7/4Q1PP/7K/8 w - - 1 39,d5f7 e5g4 h3g4 e8e3,1045,133,100,21,endgame master,https://lichess.org/GDHwxqWQ#77,,,2026-06-03
AbFap,1r4k1/6pp/R1pp2r1/6n1/4P3/2N5/PP4PK/5R2 b - - 2 34,b8b2 a6a8 b2b8 a8b8,1123,225,100,5,endgame,https://lichess.org/DFyubjN4/black#68,,,2026-06-08
AbLd9,6k1/1pp3p1/1p4qp/n7/2P1n3/1P1Q1RrP/PB4P1/5R1K w - - 7 30,f3g3 e4g3 d3g3 g6g3,992,99,100,32,middlegame,https://lichess.org/8UFjTAhn#59,,,2026-06-03
AbM2f,r2r2k1/1p3ppp/2p5/3P1P2/4pq2/7P/PQ3PR1/2R1K3 b - - 0 29,d8d5 b2g7,1172,157,100,18,endgame,https://lichess.org/JA1nE9zF/black#58,,,2026-06-07
Abaa3,r4rk1/1p3ppp/3p4/p6b/2PBq3/2P3Q1/P5PP/R4RK1 b - - 3 18,e4e6 g3g7,1071,167,100,12,middlegame,https://lichess.org/MFEBxoHK/black#36,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense,,2026-06-07
AbiJd,6r1/p1p2p1k/2p4p/3pbN2/4nq2/7Q/P5P1/6RK b - - 0 34,g8g5 h3h6 h7g8 f5e7,1287,96,100,41,middlegame,https://lichess.org/kAr7oLMv/black#68,,,2026-06-05
Ac7UQ,r5k1/p2q2p1/1p3n1p/3p4/3Q4/2N4P/PPP2PP1/4R1K1 w - - 0 21,c3e4 d5e4 d4d7 f6d7,1540,83,100,47,endgame,https://lichess.org/0cVLGFOS#41,,,2026-06-03
AcC5d,6k1/2p2ppp/rp2p3/2P1P3/3P4/1qQ1B3/5PPP/6K1 w - - 0 27,c3b3 a6a1 e3c1 a1c1 b3d1 c1d1,954,149,100,14,endgame,https://lichess.org/0BYO7I4A#53,,,2026-06-02
AcHG3,r4rk1/1b2bppp/ppqppn2/8/P3PP2/1BN5/1PP3PP/R1BQR2K w - - 1 14,e4e5 c6g2,883,93,100,29,master middlegame,https://lichess.org/GUGFmz67#27,Sicilian_Defense Sicilian_Defense_Closed,,2026-06-05
AcTKN,r5kb/1p1bRr1p/pq1p2n1/3P1pQN/2P5/1P4PP/P4PB1/4R1K1 b - - 8 26,g8f8 g5h6 f8g8 e7f7,1681,109,100,19,middlegame,https://lichess.org/INcrRZ01/black#52,,,2026-06-07
AcjiC,r2k3r/1p1b2p1/p6q/2Q5/P7/4PB2/1PP2PpP/R1B2RK1 w - - 0 18,f3g2 h6h2,779,116,100,20,middlegame,https://lichess.org/GPeZpsye#35,Queens_Pawn_Game Queens_Pawn_Game_Colle_System,,2026-06-02
ActQD,rbb2rk1/1pqp1pp1/p3p2p/P3n1B1/1P2P3/2P2N1P/3NQPP1/R4RK1 w - - 0 18,g5f4 e5f3 e2f3 c7f4 f3f4 b8f4,1305,133,100,19,middlegame,https://lichess.org/LgHRDQHq#35,Sicilian_Defense Sicilian_Defense_French_Variation,,2026-06-07
AdBX9,3r2k1/5pp1/p2N3p/4PP2/2Q5/8/1PK3PP/q7 b - - 4 35,d8d7 c4c8 d7d8 c8d8,1242,192,100,27,endgame,https://lichess.org/Y5cQmmbT/black#70,,,2026-06-06
AdKtO,4rk2/5pR1/3P3P/p4N2/8/P1p2b2/2P5/2K5 w - - 1 35,c1b1 e8e1 b1a2 f3d5,1307,295,100,5,endgame,https://lichess.org/or07M8eb#69,,,2026-06-08
AdTKH,5r2/pk6/2R5/2P5/1r3p1p/R2PbPpP/6K1/3Q4 w - - 1 40,c6h6 b4b2 d1e2 b2e2,981,138,100,28,endgame,https://lichess.org/DaBGiC9j#79,,,2026-06-03
AdVmA,r6k/p5bP/2p2r2/2B1p3/Q3B3/2P4q/PP3P1P/3R3K w - - 1 24,d1d3 h3f1,915,114,100,51,middlegame,https://lichess.org/MCUOZHzA#47,,,2026-06-05
AdZew,4r1k1/1R3pp1/7p/3Q4/3PN3/3q4/5PPK/8 b - - 12 44,d3e4 d5f7 g8h8 f7g7,969,183,100,5,endgame,https://lichess.org/5nsdHFy7/black#88,,,2026-06-03
AddBw,r1b2rk1/pp1n1ppp/1q2p3/8/1bB5/1P2PNP1/P1QN1PP1/R3K2R b KQ - 2 14,d7c5 c2h7,1396,81,100,96,middlegame,https://lichess.org/t3RYwfzg/black#28,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,,2026-06-03
Addsi,r7/pp1qnk2/1p3p2/4pNr1/8/1PNP3P/1PP2Q2/R4R1K w - - 1 28,f5e7 d7h3 f2h2 h3h2 h1h2 a8h8,1714,84,100,58,middlegame,https://lichess.org/whYOPYIE#55,,,2026-06-03
Ae1TN,4r3/6pk/6rp/p1B1pQ2/1pP2p2/1Pq2b2/P3R1PP/4R2K w - - 0 35,g2f3 c3f3 e2g2 f3g2,969,146,100,28,middlegame,https://lichess.org/XETOzOkS#69,,,2026-06-06
AeCpr,5r1k/p4Ppp/8/2r5/3p2P1/P5BP/5PK1/4R3 b - - 0 33,f8f7 e1e8 f7f8 e8f8,1081,184,100,6,endgame,https://lichess.org/blxQzA9s/black#66,,,2026-06-06
AePHD,8/1p6/p2kn1p1/4R3/P5P1/1PB5/2P3K1/2r5 w - - 38 54,e5e2 e6f4 g2f3 f4e2,1347,353,100,32,endgame master,https://lichess.org/hNB1cGka#107,,,2026-06-05
Af2M5,2r3k1/1bq2pbp/pp2p1p1/2n1P2P/3Q4/5N2/PPP1B1P1/2KR3R w - - 1 22,h5g6 c5b3 a2b3 c7c2,1330,113,100,31,middlegame,https://lichess.org/aeO7qw0g#43,,,2026-06-04
AfDjR,6k1/2pR1pp1/3b3p/8/8/4BN1P/r4PP1/6K1 w - - 2 25,f3d4 a2a1 e3c1 a1c1,1092,216,100,10,endgame,https://lichess.org/VxW2HC7F#49,,,2026-06-02
AfdTf,1rr5/3nqpk1/p7/1p1bPB1Q/8/1P5P/6P1/2R1R1K1 b - - 0 29,c8c1 h5h7 g7f8 h7h8,1159,141,100,8,middlegame,https://lichess.org/feWO0DvG/black#58,,,2026-06-07
AfphV,5k2/R5R1/3n2p1/8/pn4PK/2r4P/3r2B1/8 b - - 10 36,d6e8 a7f7,1157,226,100,12,middlegame,https://lichess.org/BQZXdJzl/black#72,,,2026-06-05
